Instance,Alpha,RCL_size,Vehicles,Distance,ExecutionTime
25-ce-6.txt,0.2,3,2,280.85,120.01
25-ch-3.txt,0.20,3,3,222.60,110.23
25-ch-4.txt,0.20,3,3,223.95,111.88
25-rce-31.txt,0.20,3,1,603.33,120.01
25-rch-28.txt,0.20,3,3,346.51,98.68
25-rch-29.txt,0.20,3,3,298.48,103.95
25-re-19.txt,0.20,3,2,594.44,120.01
25-re-20.txt,0.20,3,2,498.78,120.00
25-re-22.txt,0.20,3,1,429.09,120.00
25-re-23.txt,0.20,3,1,434.67,120.02
25-re-24.txt,0.20,3,1,659.54,120.01
25-rh-13.txt,0.20,3,4,442.80,98.53
25-rh-18.txt,0.20,3,4,433.42,94.23
50-ce-7.txt,0.20,3,2,472.02,120.02
50-ce-10.txt,0.20,3,2,382.22,120.09
50-ch-1.txt,0.20,3,5,410.91,120.01
50-rce-32.txt,0.20,3,2,867.89,120.05
50-rch-26.txt,0.20,3,6,782.39,120.00
50-re-21.txt,0.20,3,2,666.58,120.11
50-rh-12.txt,0.20,3,8,888.54,120.01
50-rh-14.txt,0.20,3,6,765.28,120.02
50-rh-15.txt,0.20,3,9,1017.18,120.01
50-rh-16.txt,0.20,3,6,690.74,120.01
100-ce-8.txt,0.20,3,3,681.06,120.29
100-ce-9.txt,0.20,3,3,702.08,120.05
100-ch-2.txt,0.20,3,10,990.40,120.05
100-ch-5.txt,0.20,3,10,883.67,120.01
100-rce-33.txt,0.20,3,4,2062.28,120.37
100-rch-25.txt,0.20,3,15,1906.50,120.03
100-rch-27.txt,0.20,3,16,1962.56,120.02
100-rch-30.txt,0.20,3,12,1465.35,120.11
100-rh-11.txt,0.20,3,19,1940.97,120.05
100-rh-17.txt,0.20,3,12,1469.15,120.07
200-ce-36.txt,0.20,3,6,3066.51,120.99
200-ce-37.txt,0.20,3,7,2596.06,120.53
200-ch-34.txt,0.20,3,20,3822.86,120.20
200-ch-35.txt,0.20,3,20,3980.85,120.17
200-rce-42.txt,0.20,3,6,5994.69,123.87
200-rce-43.txt,0.20,3,5,3738.95,120.87
200-rch-41.txt,0.20,3,19,4518.11,120.05
200-re-39.txt,0.20,3,4,4070.85,120.22
200-re-40.txt,0.20,3,4,5747.40,122.17
200-rh-38.txt,0.20,3,20,5375.28,120.24
400-ce-46.txt,0.20,3,13,6657.23,124.08
400-ce-47.txt,0.20,3,14,6785.07,121.21
400-ch-44.txt,0.20,3,39,10407.02,120.05
400-ch-45.txt,0.20,3,40,11266.09,120.68
400-rce-51.txt,0.20,3,13,11392.41,127.41
400-rch-50.txt,0.20,3,37,11089.26,121.19
400-re-49.txt,0.20,3,8,11545.28,125.72
400-rh-48.txt,0.20,3,36,11260.16,121.29
600-ce-53.txt,0.20,3,20,14621.24,124.69
600-ch-52.txt,0.20,3,60,20540.82,123.07
600-rce-58.txt,0.20,3,12,17242.68,150.50
600-rch-57.txt,0.20,3,55,22216.28,123.30
600-re-56.txt,0.20,3,12,18920.68,130.10
600-rh-54.txt,0.20,3,58,29837.57,122.92
600-rh-55.txt,0.20,3,55,25656.25,121.21
800-ce-60.txt,0.20,3,26,17853.74,122.55
800-ch-59.txt,0.20,3,87,43814.58,123.66
800-rce-64.txt,0.20,3,21,34699.52,133.51
800-rch-63.txt,0.20,3,77,42418.31,124.48
800-re-62.txt,0.20,3,16,41556.66,137.21
800-rh-61.txt,0.20,3,85,58683.89,120.36
