Instance,Alpha,RCL_size,Vehicles,Distance,ExecutionTime
25-ce-6.txt,0.1,3,2,275.14,120.00
25-ch-3.txt,0.10,3,3,221.37,109.42
25-ch-4.txt,0.10,3,3,218.08,109.80
25-rce-31.txt,0.10,3,1,617.13,120.01
25-rch-28.txt,0.10,3,3,346.51,97.06
25-rch-29.txt,0.10,3,3,296.54,120.00
25-re-19.txt,0.10,3,2,615.85,120.00
25-re-20.txt,0.10,3,2,498.78,120.01
25-re-22.txt,0.10,3,1,454.47,120.02
25-re-23.txt,0.10,3,1,434.67,120.01
25-re-24.txt,0.10,3,1,647.96,120.02
25-rh-13.txt,0.10,3,4,442.99,98.24
25-rh-18.txt,0.10,3,4,442.81,95.91
50-ce-7.txt,0.10,3,2,472.02,120.09
50-ce-10.txt,0.10,3,2,392.30,120.04
50-ch-1.txt,0.10,3,5,410.91,120.00
50-rce-32.txt,0.10,3,2,865.31,120.02
50-rch-26.txt,0.10,3,6,776.24,120.01
50-re-21.txt,0.10,3,2,634.85,120.07
50-rh-12.txt,0.10,3,8,981.82,120.01
50-rh-14.txt,0.10,3,6,760.96,120.02
50-rh-15.txt,0.10,3,9,1018.09,120.02
50-rh-16.txt,0.10,3,6,712.55,120.01
100-ce-8.txt,0.10,3,3,652.30,120.19
100-ce-9.txt,0.10,3,3,759.66,120.25
100-ch-2.txt,0.10,3,10,974.00,120.09
100-ch-5.txt,0.10,3,10,878.63,120.07
100-rce-33.txt,0.10,3,4,2508.29,120.09
100-rch-25.txt,0.10,3,16,1955.88,120.06
100-rch-27.txt,0.10,3,15,1987.30,120.03
100-rch-30.txt,0.10,3,12,1421.77,120.05
100-rh-11.txt,0.10,3,19,1932.98,120.05
100-rh-17.txt,0.10,3,12,1430.42,120.07
200-ce-36.txt,0.10,3,7,2735.10,120.72
200-ce-37.txt,0.10,3,7,2584.59,120.20
200-ch-34.txt,0.10,3,20,3587.13,120.10
200-ch-35.txt,0.10,3,20,3829.18,120.37
200-rce-42.txt,0.10,3,6,6707.65,127.89
200-rce-43.txt,0.10,3,5,3865.33,120.65
200-rch-41.txt,0.10,3,19,4461.71,120.36
200-re-39.txt,0.10,3,4,4844.87,120.56
200-re-40.txt,0.10,3,4,5053.74,122.63
200-rh-38.txt,0.10,3,20,5511.33,120.04
400-ce-46.txt,0.10,3,13,7630.96,125.47
400-ce-47.txt,0.10,3,14,6863.97,126.83
400-ch-44.txt,0.10,3,39,9779.68,121.27
400-ch-45.txt,0.10,3,40,10626.91,120.47
400-rce-51.txt,0.10,3,13,13732.06,126.01
400-rch-50.txt,0.10,3,38,11451.42,121.10
400-re-49.txt,0.10,3,8,10856.28,129.73
400-rh-48.txt,0.10,3,36,10493.60,121.24
600-ce-53.txt,0.10,3,20,14210.93,126.01
600-ch-52.txt,0.10,3,59,18993.23,120.76
600-rce-58.txt,0.10,3,12,16647.08,150.20
600-rch-57.txt,0.10,3,55,22578.96,122.26
600-re-56.txt,0.10,3,12,16314.41,127.12
600-rh-54.txt,0.10,3,58,28447.15,122.88
600-rh-55.txt,0.10,3,55,25895.19,120.68
800-ce-60.txt,0.10,3,25,18100.37,122.25
800-ch-59.txt,0.10,3,84,41127.14,122.68
800-rce-64.txt,0.10,3,21,33841.26,138.00
800-rch-63.txt,0.10,3,75,38353.11,123.89
800-re-62.txt,0.10,3,17,42382.18,137.42
800-rh-61.txt,0.10,3,86,55961.18,125.62
